Team,Games,Wins,Losses,WP%
Astros,464,310,154,0.668103448
Athletics,287,175,112,0.609756098
Blue Jays,264,157,107,0.59469697
Braves,472,297,175,0.629237288
Brewers,514,321,193,0.624513619
Cardinals,671,393,278,0.585692996
Cleveland,511,324,187,0.634050881
Cubs,448,277,171,0.618303571
Diamondbacks,293,176,117,0.600682594
Dodgers,744,474,270,0.637096774
Giants,372,230,142,0.61827957
Los Angeles Angels of Anaheim,247,147,100,0.5951417
Mariners,357,220,137,0.616246499
Marlins,56,32,24,0.571428571
Mets,290,173,117,0.596551724
Nationals,435,274,161,0.629885057
Orioles,170,102,68,0.6
Padres,200,124,76,0.62
Phillies,348,220,128,0.632183908
Pirates,133,76,57,0.571428571
Rangers,273,164,109,0.600732601
Rays,292,196,96,0.671232877
Red Sox,342,224,118,0.65497076
Reds,258,161,97,0.624031008
Rockies,166,94,72,0.56626506
Royals,153,100,53,0.653594771
Tigers,387,238,149,0.61498708
Twins,363,230,133,0.633608815
White Sox,222,136,86,0.612612613
Yankees,532,335,197,0.629699248
TOTAL,10264,6380,3884,0.621590023
