Team,Total_Division_Wins,Total_Division_Losses,Total_NonDivision_Wins,Total_NonDivision_Losses,Total_Wins,Total_Losses,Win_Percentage
Arizona Diamondbacks,601,659,758,796,1359,1455,0.48294243070362475
Atlanta Braves,696,563,806,747,1502,1310,0.5341394025604552
Baltimore Orioles,553,707,755,798,1308,1505,0.46498400284393887
Boston Red Sox,637,623,874,680,1511,1303,0.5369580668088131
Chicago Cubs,664,643,763,742,1427,1385,0.5074679943100996
Chicago White Sox,581,679,713,841,1294,1520,0.4598436389481166
Cincinnati Reds,632,670,702,810,1334,1480,0.47405828002842926
Cleveland Guardians,692,566,780,773,1472,1339,0.5236570615439345
Colorado Rockies,569,693,727,826,1296,1519,0.4603907637655417
Detroit Tigers,627,631,733,819,1360,1450,0.48398576512455516
Houston Astros,682,616,748,766,1430,1382,0.5085348506401138
Kansas City Royals,601,659,673,881,1274,1540,0.4527363184079602
Los Angeles Angels,578,592,847,797,1425,1389,0.5063965884861408
Los Angeles Dodgers,743,518,895,658,1638,1176,0.582089552238806
Miami Marlins,557,700,705,848,1262,1548,0.4491103202846975
Milwaukee Brewers,695,607,777,736,1472,1343,0.5229129662522203
Minnesota Twins,648,614,727,827,1375,1441,0.48828125
New York Mets,635,624,772,782,1407,1406,0.5001777461784571
New York Yankees,685,575,922,632,1607,1207,0.5710732054015636
Oakland Athletics,550,620,816,827,1366,1447,0.4856025595449698
Philadelphia Phillies,644,616,799,755,1443,1371,0.5127931769722814
Pittsburgh Pirates,578,726,705,802,1283,1528,0.456421202419068
San Diego Padres,583,678,763,791,1346,1469,0.47815275310834815
San Francisco Giants,656,604,772,782,1428,1386,0.5074626865671642
Seattle Mariners,576,594,796,848,1372,1442,0.48756218905472637
St. Louis Cardinals,712,587,809,704,1521,1291,0.5408961593172119
Tampa Bay Rays,679,581,833,722,1512,1303,0.5371225577264653
Texas Rangers,579,591,823,822,1402,1413,0.49804618117229127
Toronto Blue Jays,596,664,820,734,1416,1398,0.5031982942430704
Washington Nationals,615,644,743,810,1358,1454,0.4829302987197724
