Year,Team,Wins,Losses,Win %,Division
2007,Braves,84,78,0.518518519,NL East
2007,Cubs,85,77,0.524691358,NL Central
2007,Reds,72,90,0.444444444,NL Central
2007,Rockies,90,73,0.552147239,NL West
2007,Dodgers,82,80,0.50617284,NL West
2007,Marlins,71,91,0.438271605,Nl East
2007,Brewers,83,79,0.512345679,NL Central
2007,Mets,88,74,0.543209877,NL East
2007,Phillies,89,73,0.549382716,NL East
2007,Pirates,68,94,0.419753086,NL Central
2007,Padres,89,74,0.54601227,NL West
2007,Giants,71,91,0.438271605,NL West
2007,Cardinals,78,84,0.481481481,NL Central
2007,Nationals,73,89,0.450617284,NL East
2007,Diamondbacks,90,72,0.555555556,NL West
2007,Astros,73,89,0.450617284,NL Central
2007,Orioles,69,93,0.425925926,AL East
2007,Red Sox,96,66,0.592592593,AL East
2007,White Sox,72,90,0.444444444,AL Central
2007,Cleveland,96,66,0.592592593,AL Central
2007,Tigers,88,74,0.543209877,AL Central
2007,Royals,69,93,0.425925926,AL Central
2007,Los Angeles Angels of Anaheim,94,68,0.580246914,AL West
2007,Twins,79,83,0.487654321,AL Central
2007,Yankees,94,68,0.580246914,AL East
2007,Athletics,76,86,0.469135802,AL West
2007,Mariners,88,74,0.543209877,AL West
2007,Rays,66,96,0.407407407,AL East
2007,Rangers,75,87,0.462962963,AL West
2007,Blue Jays,83,79,0.512345679,AL East
2008,Braves,72,90,0.444444444,NL East
2008,Cubs,97,64,0.602484472,NL Central
2008,Reds,74,88,0.456790123,NL Central
2008,Rockies,74,88,0.456790123,NL West
2008,Dodgers,84,78,0.518518519,NL West
2008,Marlins,84,77,0.52173913,Nl East
2008,Brewers,90,72,0.555555556,NL Central
2008,Mets,89,73,0.549382716,NL East
2008,Phillies,92,70,0.567901235,NL East
2008,Pirates,67,95,0.413580247,NL Central
2008,Padres,63,99,0.388888889,NL West
2008,Giants,72,90,0.444444444,NL West
2008,Cardinals,86,76,0.530864198,NL Central
2008,Nationals,59,102,0.366459627,NL East
2008,Diamondbacks,82,80,0.50617284,NL West
2008,Astros,86,75,0.534161491,NL Central
2008,Orioles,68,93,0.422360248,AL East
2008,Red Sox,95,67,0.586419753,AL East
2008,White Sox,89,74,0.54601227,AL Central
2008,Cleveland,81,81,0.5,AL Central
2008,Tigers,74,88,0.456790123,AL Central
2008,Royals,75,87,0.462962963,AL Central
2008,Los Angeles Angels of Anaheim,100,62,0.617283951,AL West
2008,Twins,88,75,0.539877301,AL Central
2008,Yankees,89,73,0.549382716,AL East
2008,Athletics,75,86,0.465838509,AL West
2008,Mariners,61,101,0.37654321,AL West
2008,Rays,97,65,0.598765432,AL East
2008,Rangers,79,83,0.487654321,AL West
2008,Blue Jays,86,76,0.530864198,AL East
2009,Braves,86,76,0.530864198,NL East
2009,Cubs,83,78,0.51552795,NL Central
2009,Reds,78,84,0.481481481,NL Central
2009,Rockies,92,70,0.567901235,NL West
2009,Dodgers,95,67,0.586419753,NL West
2009,Marlins,87,75,0.537037037,NL East
2009,Brewers,80,82,0.49382716,NL Central
2009,Mets,70,92,0.432098765,NL East
2009,Phillies,93,69,0.574074074,NL East
2009,Pirates,62,99,0.385093168,NL Central
2009,Padres,75,87,0.462962963,NL West
2009,Giants,88,74,0.543209877,NL West
2009,Cardinals,91,71,0.561728395,NL Central
2009,Nationals,59,103,0.364197531,NL East
2009,Diamondbacks,70,92,0.432098765,NL West
2009,Astros,74,88,0.456790123,NL Central
2009,Orioles,64,98,0.395061728,AL East
2009,Red Sox,95,67,0.586419753,AL East
2009,White Sox,79,83,0.487654321,AL Central
2009,Cleveland,65,97,0.401234568,AL Central
2009,Tigers,86,77,0.527607362,AL Central
2009,Royals,65,97,0.401234568,AL Central
2009,Los Angeles Angels of Anaheim,97,65,0.598765432,AL West
2009,Twins,87,76,0.533742331,AL Central
2009,Yankees,103,59,0.635802469,AL East
2009,Athletics,75,87,0.462962963,AL West
2009,Mariners,85,77,0.524691358,AL West
2009,Rays,84,78,0.518518519,AL East
2009,Rangers,87,75,0.537037037,AL West
2009,Blue Jays,75,87,0.462962963,AL East
2010,Braves,91,71,0.561728395,NL East
2010,Cubs,75,87,0.462962963,NL Central
2010,Reds,91,71,0.561728395,NL Central
2010,Rockies,83,79,0.512345679,NL West
2010,Dodgers,80,82,0.49382716,NL West
2010,Marlins,80,82,0.49382716,NL East
2010,Brewers,77,85,0.475308642,NL Central
2010,Mets,79,83,0.487654321,NL East
2010,Phillies,97,65,0.598765432,NL East
2010,Pirates,57,105,0.351851852,NL Central
2010,Padres,90,72,0.555555556,NL West
2010,Giants,92,70,0.567901235,NL West
2010,Cardinals,86,76,0.530864198,NL Central
2010,Nationals,69,93,0.425925926,NL East
2010,Diamondbacks,65,97,0.401234568,NL West
2010,Astros,76,86,0.469135802,NL Central
2010,Orioles,66,96,0.407407407,AL East
2010,Red Sox,89,73,0.549382716,AL East
2010,White Sox,88,74,0.543209877,AL Central
2010,Cleveland,69,93,0.425925926,AL Central
2010,Tigers,81,81,0.5,AL Central
2010,Royals,67,95,0.413580247,AL Central
2010,Los Angeles Angels of Anaheim,80,82,0.49382716,AL West
2010,Twins,94,68,0.580246914,AL Central
2010,Yankees,95,67,0.586419753,AL East
2010,Athletics,81,81,0.5,AL West
2010,Mariners,61,101,0.37654321,AL West
2010,Rays,96,66,0.592592593,AL East
2010,Rangers,90,72,0.555555556,AL West
2010,Blue Jays,85,77,0.524691358,AL East
2011,Braves,89,73,0.549382716,NL East
2011,Cubs,71,91,0.438271605,NL Central
2011,Reds,79,83,0.487654321,NL Central
2011,Rockies,73,89,0.450617284,NL West
2011,Dodgers,82,79,0.50931677,NL West
2011,Marlins,72,90,0.444444444,NL East
2011,Brewers,96,66,0.592592593,NL Central
2011,Mets,77,85,0.475308642,NL East
2011,Phillies,102,60,0.62962963,NL East
2011,Pirates,72,90,0.444444444,NL Central
2011,Padres,71,91,0.438271605,NL West
2011,Giants,86,76,0.530864198,NL West
2011,Cardinals,90,72,0.555555556,NL Central
2011,Nationals,80,81,0.49689441,NL East
2011,Diamondbacks,94,68,0.580246914,NL West
2011,Astros,56,106,0.345679012,NL Central
2011,Orioles,69,93,0.425925926,AL East
2011,Red Sox,90,72,0.555555556,AL East
2011,White Sox,79,83,0.487654321,AL Central
2011,Cleveland,80,82,0.49382716,AL Central
2011,Tigers,95,67,0.586419753,AL Central
2011,Royals,71,91,0.438271605,AL Central
2011,Los Angeles Angels of Anaheim,86,76,0.530864198,AL West
2011,Twins,63,99,0.388888889,AL Central
2011,Yankees,97,65,0.598765432,AL East
2011,Athletics,74,88,0.456790123,AL West
2011,Mariners,67,95,0.413580247,AL West
2011,Rays,91,71,0.561728395,AL East
2011,Rangers,96,66,0.592592593,AL West
2011,Blue Jays,81,81,0.5,AL East
2012,Braves,94,68,0.580246914,NL East
2012,Cubs,61,101,0.37654321,NL Central
2012,Reds,97,65,0.598765432,NL Central
2012,Rockies,64,98,0.395061728,NL West
2012,Dodgers,86,76,0.530864198,NL West
2012,Marlins,69,93,0.425925926,NL East
2012,Brewers,83,79,0.512345679,NL Central
2012,Mets,74,88,0.456790123,NL East
2012,Phillies,81,81,0.5,NL East
2012,Pirates,79,83,0.487654321,NL Central
2012,Padres,76,86,0.469135802,NL West
2012,Giants,94,68,0.580246914,NL West
2012,Cardinals,88,74,0.543209877,NL Central
2012,Nationals,98,64,0.604938272,NL East
2012,Diamondbacks,81,81,0.5,NL West
2012,Astros,55,107,0.339506173,NL Central
2012,Orioles,93,69,0.574074074,AL East
2012,Red Sox,69,93,0.425925926,AL East
2012,White Sox,85,77,0.524691358,AL Central
2012,Cleveland,68,94,0.419753086,AL Central
2012,Tigers,88,74,0.543209877,AL Central
2012,Royals,72,90,0.444444444,AL Central
2012,Los Angeles Angels of Anaheim,89,73,0.549382716,AL West
2012,Twins,66,96,0.407407407,AL Central
2012,Yankees,95,67,0.586419753,AL East
2012,Athletics,94,68,0.580246914,AL West
2012,Mariners,75,87,0.462962963,AL West
2012,Rays,90,72,0.555555556,AL East
2012,Rangers,93,69,0.574074074,AL West
2012,Blue Jays,73,89,0.450617284,AL East
2013,Braves,96,66,0.592592593,NL East
2013,Cubs,66,96,0.407407407,NL Central
2013,Reds,90,72,0.555555556,NL Central
2013,Rockies,74,88,0.456790123,NL West
