Year,Team,Wins,Losses,Win %
2007,Braves,84,78,0.5185185185185185
2007,Cubs,85,77,0.5246913580246914
2007,Reds,72,90,0.4444444444444444
2007,Rockies,90,73,0.5521472392638037
2007,Dodgers,82,80,0.5061728395061729
2007,Marlins,71,91,0.4382716049382716
2007,Brewers,83,79,0.5123456790123457
2007,Mets,88,74,0.5432098765432098
2007,Phillies,89,73,0.5493827160493827
2007,Pirates,68,94,0.41975308641975306
2007,Padres,89,74,0.5460122699386503
2007,Giants,71,91,0.4382716049382716
2007,Cardinals,78,84,0.48148148148148145
2007,Nationals,73,89,0.4506172839506173
2007,Diamondbacks,90,72,0.5555555555555556
2007,Astros,73,89,0.4506172839506173
2007,Orioles,69,93,0.42592592592592593
2007,Red Sox,96,66,0.5925925925925926
2007,White Sox,72,90,0.4444444444444444
2007,Cleveland,96,66,0.5925925925925926
2007,Tigers,88,74,0.5432098765432098
2007,Royals,69,93,0.42592592592592593
2007,Los Angeles Angels of Anaheim,94,68,0.5802469135802469
2007,Twins,79,83,0.4876543209876543
2007,Yankees,94,68,0.5802469135802469
2007,Athletics,76,86,0.4691358024691358
2007,Mariners,88,74,0.5432098765432098
2007,Rays,66,96,0.4074074074074074
2007,Rangers,75,87,0.46296296296296297
2007,Blue Jays,83,79,0.5123456790123457
2008,Braves,72,90,0.4444444444444444
2008,Cubs,97,64,0.6024844720496895
2008,Reds,74,88,0.4567901234567901
2008,Rockies,74,88,0.4567901234567901
2008,Dodgers,84,78,0.5185185185185185
2008,Marlins,84,77,0.5217391304347826
2008,Brewers,90,72,0.5555555555555556
2008,Mets,89,73,0.5493827160493827
2008,Phillies,92,70,0.5679012345679012
2008,Pirates,67,95,0.41358024691358025
2008,Padres,63,99,0.3888888888888889
2008,Giants,72,90,0.4444444444444444
2008,Cardinals,86,76,0.5308641975308642
2008,Nationals,59,102,0.36645962732919257
2008,Diamondbacks,82,80,0.5061728395061729
2008,Astros,86,75,0.5341614906832298
2008,Orioles,68,93,0.422360248447205
2008,Red Sox,95,67,0.5864197530864198
2008,White Sox,89,74,0.5460122699386503
2008,Cleveland,81,81,0.5
2008,Tigers,74,88,0.4567901234567901
2008,Royals,75,87,0.46296296296296297
2008,Los Angeles Angels of Anaheim,100,62,0.6172839506172839
2008,Twins,88,75,0.5398773006134969
2008,Yankees,89,73,0.5493827160493827
2008,Athletics,75,86,0.4658385093167702
2008,Mariners,61,101,0.3765432098765432
2008,Rays,97,65,0.5987654320987654
2008,Rangers,79,83,0.4876543209876543
2008,Blue Jays,86,76,0.5308641975308642
2009,Braves,86,76,0.5308641975308642
