Team,Games,Wins,Losses,WP%
Astros,474,292,182,0.616033755
Athletics,274,188,86,0.686131387
Blue Jays,462,272,190,0.588744589
Braves,517,306,211,0.591876209
Brewers,563,325,238,0.577264654
Cardinals,665,402,263,0.604511278
Cleveland,464,307,157,0.661637931
Cubs,487,309,178,0.63449692
Diamondbacks,339,206,133,0.607669617
Dodgers,734,469,265,0.638964578
Giants,363,223,140,0.614325069
Los Angeles Angels of Anaheim,309,203,106,0.656957929
Mariners,441,248,193,0.562358277
Marlins,55,36,19,0.654545455
Mets,334,205,129,0.613772455
Nationals,322,198,124,0.614906832
Orioles,308,197,111,0.63961039
Padres,284,179,105,0.63028169
Phillies,429,261,168,0.608391608
Pirates,202,132,70,0.653465347
Rangers,348,211,137,0.606321839
Rays,542,341,201,0.629151292
Red Sox,571,370,201,0.647985989
Reds,289,167,122,0.577854671
Rockies,220,126,94,0.572727273
Royals,202,121,81,0.599009901
Tigers,352,197,155,0.559659091
Twins,337,199,138,0.590504451
White Sox,151,102,49,0.675496689
Yankees,855,534,321,0.624561404
TOTAL,11893,7326,4567,0.615992601
